PID,Player,Span,Mat,Inns,Balls,Runs,Wkts,Bbm,Ave,Econ,Sr,5s,10s,Ct,St,Country,Format
1,EL a'Beckett,1928-1932,4,8,1062,317,3,1/66,105.66,1.79,354.0,0,0,4,0,Australia,Test
2,AC Agar,2013-2017,4,8,874,410,9,5/101,45.55,2.81,97.1,0,0,0,0,Australia,Test
3,TM Alderman,1981-1991,41,73,10181,4616,170,10/151,27.15,2.72,59.8,14,1,27,0,Australia,Test
4,G Alexander,1880-1884,2,2,168,93,2,2/69,46.50,3.32,84.0,0,0,2,0,Australia,Test
5,HH Alexander,1933-1933,1,2,276,154,1,1/154,154.00,3.34,276.0,0,0,0,0,Australia,Test
6,FE Allan,1879-1879,1,2,180,80,4,4/80,20.00,2.66,45.0,0,0,0,0,Australia,Test
7,PJ Allan,1965-1965,1,2,192,83,2,2/83,41.50,2.59,96.0,0,0,0,0,Australia,Test
8,RC Allen,1887-1887,1,0,0,0,0,0,0,0,0,0,0,2,0,Australia,Test
9,TJE Andrews,1921-1926,16,4,156,116,1,1/23,116.00,4.46,156.0,0,0,12,0,Australia,Test
10,J Angel,1993-1995,4,7,748,463,10,5/146,46.30,3.71,74.8,0,0,1,0,Australia,Test
11,KA Archer,1950-1951,5,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
12,RG Archer,1953-1956,19,35,3576,1318,48,6/65,27.45,2.21,74.5,1,0,20,0,Australia,Test
13,WW Armstrong,1902-1921,50,80,8022,2923,87,7/166,33.59,2.18,92.2,3,0,44,0,Australia,Test
14,CL Badcock,1936-1938,7,0,0,0,0,0,0,0,0,0,0,3,0,Australia,Test
15,GJ Bailey,2013-2014,5,0,0,0,0,0,0,0,0,0,0,10,0,Australia,Test
16,CT Bancroft,2017-2018,7,0,0,0,0,0,0,0,0,0,0,9,0,Australia,Test
17,AC Bannerman,1879-1893,28,4,292,163,4,3/111,40.75,3.34,73.0,0,0,21,0,Australia,Test
18,C Bannerman,1877-1879,3,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
19,W Bardsley,1909-1926,41,0,0,0,0,0,0,0,0,0,0,12,0,Australia,Test
20,SG Barnes,1938-1948,13,9,594,218,4,2/25,54.50,2.20,148.5,0,0,14,0,Australia,Test
21,BA Barnett,1938-1938,4,0,0,0,0,0,0,0,0,0,0,3,2,Australia,Test
22,JE Barrett,1890-1890,2,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
23,GR Beard,1980-1980,3,4,259,109,1,1/26,109.00,2.52,259.0,0,0,0,0,Australia,Test
24,MA Beer,2011-2012,2,3,406,178,3,2/66,59.33,2.63,135.3,0,0,1,0,Australia,Test
25,J Benaud,1972-1973,3,1,24,12,2,2/12,6.00,3.00,12.0,0,0,0,0,Australia,Test
26,R Benaud,1952-1964,63,116,19108,6704,248,11/105,27.03,2.10,77.0,16,1,65,0,Australia,Test
27,MJ Bennett,1984-1985,3,5,665,325,6,5/124,54.16,2.93,110.8,0,0,5,0,Australia,Test
28,MG Bevan,1994-1998,18,21,1285,703,29,10/113,24.24,3.28,44.3,1,1,8,0,Australia,Test
29,AJ Bichel,1997-2003,19,37,3337,1870,58,6/125,32.24,3.36,57.5,1,0,16,0,Australia,Test
30,JM Bird,2012-2017,9,17,1934,1042,34,7/117,30.64,3.23,56.8,1,0,2,0,Australia,Test
31,JM Blackham,1877-1894,35,0,0,0,0,0,0,0,0,0,0,37,24,Australia,Test
32,DD Blackie,1928-1929,3,5,1260,444,14,7/169,31.71,2.11,90.0,1,0,2,0,Australia,Test
33,GS Blewett,1995-2000,46,42,1436,720,14,2/9,51.42,3.00,102.5,0,0,45,0,Australia,Test
34,DE Bollinger,2009-2010,12,23,2401,1296,50,8/141,25.92,3.23,48.0,2,0,2,0,Australia,Test
35,GJ Bonnor,1880-1888,17,4,164,84,2,1/5,42.00,3.07,82.0,0,0,16,0,Australia,Test
36,DC Boon,1984-1996,107,3,36,14,0,0,0,2.33,0,0,0,99,0,Australia,Test
37,BC Booth,1961-1966,29,12,436,146,3,2/33,48.66,2.00,145.3,0,0,17,0,Australia,Test
38,AR Border,1978-1994,156,98,4009,1525,39,11/96,39.10,2.28,102.7,2,1,156,0,Australia,Test
39,HF Boyle,1879-1884,12,21,1743,641,32,7/69,20.03,2.20,54.4,1,0,10,0,Australia,Test
40,NW Bracken,2003-2005,5,10,1110,505,12,4/71,42.08,2.72,92.5,0,0,2,0,Australia,Test
41,DG Bradman,1928-1948,52,9,160,72,2,1/15,36.00,2.70,80.0,0,0,32,0,Australia,Test
42,RJ Bright,1977-1986,25,39,5541,2180,53,10/111,41.13,2.36,104.5,4,1,13,0,Australia,Test
43,EH Bromley,1933-1934,2,1,60,19,0,0,0,1.90,0,0,0,2,0,Australia,Test
44,WA Brown,1934-1948,22,0,0,0,0,0,0,0,0,0,0,14,0,Australia,Test
45,W Bruce,1885-1895,14,15,988,440,12,3/92,36.66,2.67,82.3,0,0,12,0,Australia,Test
46,PJP Burge,1955-1966,42,0,0,0,0,0,0,0,0,0,0,23,0,Australia,Test
47,JW Burke,1951-1959,24,16,814,230,8,4/52,28.75,1.69,101.7,0,0,18,0,Australia,Test
48,EJK Burn,1890-1890,2,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
49,JA Burns,2014-2016,13,0,0,0,0,0,0,0,0,0,0,15,0,Australia,Test
50,FJ Burton,1887-1888,2,0,0,0,0,0,0,0,0,0,0,1,1,Australia,Test
51,ST Callaway,1892-1895,3,6,471,142,6,5/56,23.66,1.80,78.5,1,0,0,0,Australia,Test
52,IW Callen,1978-1978,1,2,440,191,6,6/191,31.83,2.60,73.3,0,0,1,0,Australia,Test
53,GD Campbell,1989-1990,4,8,951,503,13,5/143,38.69,3.17,73.1,0,0,1,0,Australia,Test
54,W Carkeek,1912-1912,6,0,0,0,0,0,0,0,0,0,0,6,0,Australia,Test
55,PH Carlson,1979-1979,2,3,368,99,2,2/75,49.50,1.61,184.0,0,0,2,0,Australia,Test
56,H Carter,1907-1921,28,0,0,0,0,0,0,0,0,0,0,44,21,Australia,Test
57,HWR Cartwright,2017-2017,2,2,54,31,0,0,0,3.44,0,0,0,0,0,Australia,Test
58,B Casson,2008-2008,1,2,192,129,3,3/129,43.00,4.03,64.0,0,0,2,0,Australia,Test
59,GS Chappell,1970-1984,87,88,5327,1913,47,5/61,40.70,2.15,113.3,1,0,122,0,Australia,Test
60,IM Chappell,1964-1980,75,60,2873,1316,20,2/31,65.80,2.74,143.6,0,0,105,0,Australia,Test
61,TM Chappell,1981-1981,3,0,0,0,0,0,0,0,0,0,0,2,0,Australia,Test
62,PC Charlton,1890-1890,2,2,45,24,3,3/24,8.00,3.20,15.0,0,0,0,0,Australia,Test
63,AG Chipperfield,1934-1938,14,14,924,437,5,3/91,87.40,2.83,184.8,0,0,15,0,Australia,Test
64,SR Clark,2006-2009,24,48,5146,2243,94,9/89,23.86,2.61,54.7,2,0,4,0,Australia,Test
65,WM Clark,1977-1979,10,18,2793,1265,44,8/147,28.75,2.71,63.4,0,0,6,0,Australia,Test
66,MJ Clarke,2004-2015,115,65,2435,1184,31,6/9,38.19,2.91,78.5,2,0,134,0,Australia,Test
67,DJ Colley,1972-1972,3,6,729,312,6,4/151,52.00,2.56,121.5,0,0,1,0,Australia,Test
68,HL Collins,1920-1926,19,12,654,252,4,2/84,63.00,2.31,163.5,0,0,13,0,Australia,Test
69,A Coningham,1894-1895,1,2,186,76,2,2/76,38.00,2.45,93.0,0,0,0,0,Australia,Test
70,AN Connolly,1963-1971,29,55,7818,2981,102,7/109,29.22,2.28,76.6,4,0,17,0,Australia,Test
71,SH Cook,1997-1997,2,4,224,142,7,7/75,20.28,3.80,32.0,1,0,0,0,Australia,Test
72,BB Cooper,1877-1877,1,0,0,0,0,0,0,0,0,0,0,2,0,Australia,Test
73,WH Cooper,1881-1884,2,3,446,226,9,9/200,25.11,3.04,49.5,1,0,1,0,Australia,Test
74,TA Copeland,2011-2011,3,6,648,227,6,3/87,37.83,2.10,108.0,0,0,2,0,Australia,Test
75,GE Corling,1964-1964,5,8,1159,447,12,4/60,37.25,2.31,96.5,0,0,0,0,Australia,Test
76,GJ Cosier,1975-1978,18,19,899,341,5,2/26,68.20,2.27,179.8,0,0,14,0,Australia,Test
77,JT Cottam,1887-1887,1,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
78,A Cotter,1904-1912,21,38,4633,2549,89,9/221,28.64,3.30,52.0,7,0,8,0,Australia,Test
79,G Coulthard,1882-1882,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
80,EJM Cowan,2011-2013,18,0,0,0,0,0,0,0,0,0,0,24,0,Australia,Test
81,RM Cowper,1964-1968,27,36,3005,1139,36,7/135,31.63,2.27,83.4,0,0,21,0,Australia,Test
82,ID Craig,1953-1958,11,0,0,0,0,0,0,0,0,0,0,2,0,Australia,Test
83,WPA Crawford,1956-1956,4,7,437,107,7,4/50,15.28,1.46,62.4,0,0,1,0,Australia,Test
84,DJ Cullen,2006-2006,1,2,84,54,1,1/54,54.00,3.85,84.0,0,0,0,0,Australia,Test
85,PJ Cummins,2011-2018,12,22,2622,1286,50,8/119,25.72,2.94,52.4,1,0,4,0,Australia,Test
86,AC Dale,1998-1999,2,4,348,187,6,3/92,31.16,3.22,58.0,0,0,0,0,Australia,Test
87,J Darling,1894-1905,34,0,0,0,0,0,0,0,0,0,0,27,0,Australia,Test
88,LS Darling,1933-1937,12,5,162,65,0,0,0,2.40,0,0,0,8,0,Australia,Test
89,WM Darling,1978-1979,14,0,0,0,0,0,0,0,0,0,0,5,0,Australia,Test
90,AK Davidson,1953-1963,44,82,11587,3819,186,12/124,20.53,1.97,62.2,14,2,42,0,Australia,Test
91,IC Davis,1973-1977,15,0,0,0,0,0,0,0,0,0,0,9,0,Australia,Test
92,SP Davis,1986-1986,1,1,150,70,0,0,0,2.80,0,0,0,0,0,Australia,Test
93,JH de Courcy,1953-1953,3,0,0,0,0,0,0,0,0,0,0,3,0,Australia,Test
94,AR Dell,1971-1974,2,4,559,160,6,5/97,26.66,1.71,93.1,0,0,0,0,Australia,Test
95,AIC Dodemaide,1987-1992,10,17,2184,953,34,7/98,28.02,2.61,64.2,1,0,6,0,Australia,Test
96,XJ Doherty,2010-2013,4,6,918,548,7,3/131,78.28,3.58,131.1,0,0,2,0,Australia,Test
97,H Donnan,1892-1896,5,1,54,22,0,0,0,2.44,0,0,0,2,0,Australia,Test
98,AJ Doolan,2014-2014,4,0,0,0,0,0,0,0,0,0,0,4,0,Australia,Test
99,B Dooland,1947-1948,3,5,880,419,9,5/153,46.55,2.85,97.7,0,0,3,0,Australia,Test
100,RA Duff,1902-1905,22,4,180,85,4,2/43,21.25,2.83,45.0,0,0,14,0,Australia,Test
101,JRF Duncan,1971-1971,1,1,112,30,0,0,0,1.60,0,0,0,0,0,Australia,Test
102,GC Dyer,1986-1988,6,0,0,0,0,0,0,0,0,0,0,22,2,Australia,Test
103,G Dymock,1974-1980,21,35,5545,2116,78,12/166,27.12,2.28,71.0,5,1,1,0,Australia,Test
104,J Dyson,1977-1984,30,0,0,0,0,0,0,0,0,0,0,10,0,Australia,Test
105,CJ Eady,1896-1902,2,4,223,112,7,4/69,16.00,3.01,31.8,0,0,2,0,Australia,Test
106,KH Eastwood,1971-1971,1,1,40,21,1,1/21,21.00,3.15,40.0,0,0,0,0,Australia,Test
107,HI Ebeling,1934-1934,1,2,186,89,3,3/89,29.66,2.87,62.0,0,0,0,0,Australia,Test
108,JD Edwards,1888-1888,3,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
109,R Edwards,1972-1975,20,1,12,20,0,0,0,10.00,0,0,0,7,0,Australia,Test
110,WJ Edwards,1974-1974,3,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
111,MTG Elliott,1996-2004,21,2,12,4,0,0,0,2.00,0,0,0,14,0,Australia,Test
112,PA Emery,1994-1994,1,0,0,0,0,0,0,0,0,0,0,5,1,Australia,Test
113,SH Emery,1912-1912,4,4,462,249,5,2/46,49.80,3.23,92.4,0,0,2,0,Australia,Test
114,E Evans,1881-1886,6,9,1237,332,7,4/113,47.42,1.61,176.7,0,0,5,0,Australia,Test
115,AG Fairfax,1929-1931,10,18,1520,645,21,6/138,30.71,2.54,72.3,0,0,15,0,Australia,Test
116,JP Faulkner,2013-2013,1,2,166,98,6,6/98,16.33,3.54,27.6,0,0,0,0,Australia,Test
117,LE Favell,1954-1961,19,0,0,0,0,0,0,0,0,0,0,9,0,Australia,Test
118,CJ Ferguson,2016-2016,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
119,JJ Ferris,1887-1890,8,14,2030,684,48,9/74,14.25,2.02,42.2,4,0,4,0,Australia,Test
120,JHW Fingleton,1932-1938,18,0,0,0,0,0,0,0,0,0,0,13,0,Australia,Test
121,LO Fleetwood-Smith,1935-1938,10,18,3093,1570,42,10/239,37.38,3.04,73.6,2,1,0,0,Australia,Test
122,DW Fleming,1994-2001,20,38,4129,1942,75,9/91,25.89,2.82,55.0,3,0,9,0,Australia,Test
123,BC Francis,1972-1972,3,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
124,EW Freeman,1968-1970,11,21,2183,1128,34,6/116,33.17,3.10,64.2,0,0,5,0,Australia,Test
125,FAW Freer,1946-1946,1,2,160,74,3,3/74,24.66,2.77,53.3,0,0,0,0,Australia,Test
126,JB Gannon,1977-1978,3,5,726,361,11,7/161,32.81,2.98,66.0,0,0,3,0,Australia,Test
127,TW Garrett,1877-1888,19,30,2728,970,36,9/163,26.94,2.13,75.7,2,0,7,0,Australia,Test
128,RA Gaunt,1958-1964,3,5,716,310,7,3/86,44.28,2.59,102.2,0,0,1,0,Australia,Test
129,DRA Gehrs,1904-1911,6,1,6,4,0,0,0,4.00,0,0,0,6,0,Australia,Test
130,PR George,2010-2010,1,2,168,77,2,2/77,38.50,2.75,84.0,0,0,0,0,Australia,Test
131,G Giffen,1881-1896,31,43,6391,2791,103,10/160,27.09,2.62,62.0,7,1,24,0,Australia,Test
132,WF Giffen,1887-1892,3,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
133,DR Gilbert,1985-1986,9,13,1647,843,16,4/123,52.68,3.07,102.9,0,0,0,0,Australia,Test
134,AC Gilchrist,1999-2008,96,0,0,0,0,0,0,0,0,0,0,379,37,Australia,Test
135,JN Gillespie,1996-2006,71,137,14234,6770,259,9/80,26.13,2.85,54.9,8,0,27,0,Australia,Test
136,GJ Gilmour,1973-1977,15,28,2661,1406,54,9/157,26.03,3.17,49.2,3,0,8,0,Australia,Test
137,JW Gleeson,1967-1972,29,53,8857,3367,93,8/186,36.20,2.28,95.2,3,0,17,0,Australia,Test
138,H Graham,1893-1896,6,0,0,0,0,0,0,0,0,0,0,3,0,Australia,Test
139,DW Gregory,1877-1879,3,1,20,9,0,0,0,2.70,0,0,0,0,0,Australia,Test
140,EJ Gregory,1877-1877,1,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
141,JM Gregory,1920-1928,24,42,5582,2648,85,8/101,31.15,2.84,65.6,4,0,37,0,Australia,Test
142,RG Gregory,1937-1937,2,1,24,14,0,0,0,3.50,0,0,0,1,0,Australia,Test
143,SE Gregory,1890-1912,58,3,30,33,0,0,0,6.60,0,0,0,25,0,Australia,Test
144,CV Grimmett,1925-1936,37,67,14513,5231,216,14/199,24.21,2.16,67.1,21,7,17,0,Australia,Test
145,TU Groube,1880-1880,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
146,ATW Grout,1957-1966,51,0,0,0,0,0,0,0,0,0,0,163,24,Australia,Test
147,CEJ Guest,1963-1963,1,2,144,59,0,0,0,2.45,0,0,0,0,0,Australia,Test
148,BJ Haddin,2008-2015,66,0,0,0,0,0,0,0,0,0,0,262,8,Australia,Test
149,RA Hamence,1947-1948,3,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
150,JR Hammond,1973-1973,5,10,1031,488,15,7/148,32.53,2.83,68.7,0,0,2,0,Australia,Test
151,PSP Handscomb,2016-2017,12,0,0,0,0,0,0,0,0,0,0,18,0,Australia,Test
152,RJ Harris,2010-2015,27,52,5736,2658,113,9/106,23.52,2.78,50.7,5,0,13,0,Australia,Test
153,J Harry,1895-1895,1,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
154,MJ Hartigan,1908-1908,2,1,12,7,0,0,0,3.50,0,0,0,1,0,Australia,Test
155,AEV Hartkopf,1925-1925,1,2,240,134,1,1/134,134.00,3.35,240.0,0,0,0,0,Australia,Test
156,MR Harvey,1947-1947,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
157,RN Harvey,1948-1963,79,17,414,120,3,1/9,40.00,1.73,138.0,0,0,64,0,Australia,Test
158,AL Hassett,1938-1953,43,6,111,78,0,0,0,4.21,0,0,0,30,0,Australia,Test
159,JW Hastings,2012-2012,1,2,234,153,1,1/153,153.00,3.92,234.0,0,0,1,0,Australia,Test
160,NM Hauritz,2004-2010,17,33,4200,2204,63,6/126,34.98,3.14,66.6,2,0,3,0,Australia,Test
161,NJN Hawke,1963-1968,27,50,6974,2677,91,10/115,29.41,2.30,76.6,6,1,9,0,Australia,Test
162,ML Hayden,1994-2009,103,3,54,40,0,0,0,4.44,0,0,0,128,0,Australia,Test
163,JR Hazlewood,2014-2018,38,71,8090,3799,146,9/136,26.02,2.81,55.4,6,0,15,0,Australia,Test
164,GR Hazlitt,1907-1912,9,14,1563,623,23,7/73,27.08,2.39,67.9,1,0,4,0,Australia,Test
165,IA Healy,1988-1999,119,0,0,0,0,0,0,0,0,0,0,366,29,Australia,Test
166,HSTL Hendry,1921-1929,11,19,1706,640,16,3/41,40.00,2.25,106.6,0,0,10,0,Australia,Test
167,MC Henriques,2013-2016,4,4,330,164,2,1/48,82.00,2.98,165.0,0,0,1,0,Australia,Test
168,PA Hibbert,1977-1977,1,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
169,JD Higgs,1978-1981,22,36,4752,2057,66,8/190,31.16,2.59,72.0,2,0,3,0,Australia,Test
170,AMJ Hilditch,1979-1985,18,0,0,0,0,0,0,0,0,0,0,13,0,Australia,Test
171,BW Hilfenhaus,2009-2012,27,49,6078,2822,99,8/97,28.50,2.78,61.3,2,0,7,0,Australia,Test
172,C Hill,1896-1912,49,0,0,0,0,0,0,0,0,0,0,33,0,Australia,Test
173,JC Hill,1953-1955,3,5,606,273,8,4/61,34.12,2.70,75.7,0,0,2,0,Australia,Test
174,DE Hoare,1961-1961,1,2,232,156,2,2/156,78.00,4.03,116.0,0,0,2,0,Australia,Test
175,BJ Hodge,2005-2008,6,1,12,8,0,0,0,4.00,0,0,0,9,0,Australia,Test
176,JR Hodges,1877-1877,2,4,136,84,6,3/34,14.00,3.70,22.6,0,0,0,0,Australia,Test
177,TG Hogan,1983-1984,7,9,1436,706,15,6/116,47.06,2.94,95.7,1,0,2,0,Australia,Test
178,GB Hogg,1996-2008,7,13,1524,933,17,4/133,54.88,3.67,89.6,0,0,1,0,Australia,Test
179,RM Hogg,1978-1984,38,66,7633,3503,123,10/66,28.47,2.75,62.0,6,2,7,0,Australia,Test
180,TV Hohns,1989-1989,7,13,1528,580,17,4/77,34.11,2.27,89.8,0,0,3,0,Australia,Test
181,GB Hole,1951-1955,18,14,398,126,3,1/9,42.00,1.89,132.6,0,0,21,0,Australia,Test
182,JM Holland,2016-2016,2,4,492,274,5,3/141,54.80,3.34,98.4,0,0,0,0,Australia,Test
183,RG Holland,1984-1986,11,17,2889,1352,34,10/144,39.76,2.80,84.9,3,2,5,0,Australia,Test
184,DW Hookes,1977-1985,23,7,96,41,1,1/4,41.00,2.56,96.0,0,0,12,0,Australia,Test
185,AJY Hopkins,1902-1909,20,22,1327,696,26,7/149,26.76,3.14,51.0,0,0,11,0,Australia,Test
186,TP Horan,1877-1885,15,8,373,143,11,6/63,13.00,2.30,33.9,1,0,6,0,Australia,Test
187,HV Hordern,1911-1912,7,13,2148,1075,46,12/175,23.36,3.00,46.6,5,2,6,0,Australia,Test
188,PM Hornibrook,1929-1930,6,11,1579,664,17,7/146,39.05,2.52,92.8,1,0,7,0,Australia,Test
189,WP Howell,1898-1904,18,30,3892,1407,49,9/99,28.71,2.16,79.4,1,0,12,0,Australia,Test
190,KJ Hughes,1977-1984,70,6,85,28,0,0,0,1.97,0,0,0,50,0,Australia,Test
191,MG Hughes,1985-1994,53,97,12285,6017,212,13/217,28.38,2.93,57.9,7,1,23,0,Australia,Test
192,PJ Hughes,2009-2013,26,0,0,0,0,0,0,0,0,0,0,15,0,Australia,Test
193,WA Hunt,1932-1932,1,2,96,39,0,0,0,2.43,0,0,0,1,0,Australia,Test
194,AG Hurst,1974-1979,12,21,3054,1200,43,9/155,27.90,2.35,71.0,2,0,3,0,Australia,Test
195,A Hurwood,1930-1931,2,4,517,170,11,7/141,15.45,1.97,47.0,0,0,2,0,Australia,Test
196,MEK Hussey,2005-2013,79,32,588,306,7,2/2,43.71,3.12,84.0,0,0,85,0,Australia,Test
197,RJ Inverarity,1968-1972,6,5,372,93,4,3/26,23.25,1.50,93.0,0,0,4,0,Australia,Test
198,FA Iredale,1894-1899,14,1,12,3,0,0,0,1.50,0,0,0,16,0,Australia,Test
199,H Ironmonger,1928-1933,14,27,4695,1330,74,11/24,17.97,1.69,63.4,4,2,3,0,Australia,Test
200,JB Iverson,1950-1951,5,8,1108,320,21,6/52,15.23,1.73,52.7,1,0,2,0,Australia,Test
201,A Jackson,1929-1931,8,0,0,0,0,0,0,0,0,0,0,7,0,Australia,Test
202,PA Jaques,2005-2008,11,0,0,0,0,0,0,0,0,0,0,7,0,Australia,Test
203,BN Jarman,1959-1969,19,0,0,0,0,0,0,0,0,0,0,50,4,Australia,Test
204,AH Jarvis,1885-1895,11,0,0,0,0,0,0,0,0,0,0,9,9,Australia,Test
205,TJ Jenner,1970-1975,9,16,1881,749,24,6/123,31.20,2.38,78.3,1,0,5,0,Australia,Test
206,CB Jennings,1912-1912,6,0,0,0,0,0,0,0,0,0,0,5,0,Australia,Test
207,IWG Johnson,1946-1956,45,74,8780,3182,109,8/86,29.19,2.17,80.5,3,0,30,0,Australia,Test
208,LJ Johnson,1948-1948,1,2,282,74,6,6/74,12.33,1.57,47.0,0,0,2,0,Australia,Test
209,MG Johnson,2007-2015,73,140,16001,8891,313,12/127,28.40,3.33,51.1,12,3,27,0,Australia,Test
210,WA Johnston,1947-1955,40,75,11048,3826,160,9/183,23.91,2.07,69.0,7,0,16,0,Australia,Test
211,DM Jones,1984-1992,52,10,198,64,1,1/6,64.00,1.93,198.0,0,0,34,0,Australia,Test
212,E Jones,1894-1902,19,31,3754,1857,64,10/164,29.01,2.96,58.6,3,1,21,0,Australia,Test
213,SP Jones,1882-1888,12,7,262,112,6,4/47,18.66,2.56,43.6,0,0,12,0,Australia,Test
214,LR Joslin,1968-1968,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Test
215,BP Julian,1993-1995,7,14,1098,599,15,5/77,39.93,3.27,73.2,0,0,4,0,Australia,Test
216,MS Kasprowicz,1996-2006,38,73,7140,3716,113,8/92,32.88,3.12,63.1,4,0,16,0,Australia,Test
217,SM Katich,2001-2010,56,25,1039,635,21,6/90,30.23,3.66,49.4,1,0,39,0,Australia,Test
218,C Kelleway,1910-1928,26,44,4363,1683,52,6/56,32.36,2.31,83.9,1,0,24,0,Australia,Test
219,JJ Kelly,1896-1905,36,0,0,0,0,0,0,0,0,0,0,43,20,Australia,Test
220,TJD Kelly,1877-1879,2,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
221,TK Kendall,1877-1877,2,4,563,215,14,8/109,15.35,2.29,40.2,1,0,2,0,Australia,Test
222,MF Kent,1981-1981,3,0,0,0,0,0,0,0,0,0,0,6,0,Australia,Test
223,RB Kerr,1985-1985,2,0,0,0,0,0,0,0,0,0,0,1,0,Australia,Test
224,UT Khawaja,2011-2018,31,1,6,1,0,0,0,1.00,0,0,0,23,0,Australia,Test
225,AF Kippax,1925-1934,22,4,72,19,0,0,0,1.58,0,0,0,13,0,Australia,Test
226,LF Kline,1957-1961,13,22,2373,776,34,8/90,22.82,1.96,69.7,1,0,9,0,Australia,Test
227,JJ Krejza,2008-2008,2,4,743,562,13,12/358,43.23,4.53,57.1,1,1,4,0,Australia,Test
228,BM Laird,1979-1982,21,2,18,12,0,0,0,4.00,0,0,0,16,0,Australia,Test
229,JL Langer,1993-2007,105,1,6,3,0,0,0,3.00,0,0,0,73,0,Australia,Test
230,GRA Langley,1951-1956,26,0,0,0,0,0,0,0,0,0,0,83,15,Australia,Test
231,TJ Laughlin,1978-1978,3,6,516,262,6,5/135,43.66,3.04,86.0,1,0,3,0,Australia,Test
232,FJ Laver,1899-1909,15,22,2361,964,37,9/56,26.05,2.44,63.8,2,0,8,0,Australia,Test
233,SG Law,1995-1995,1,1,18,9,0,0,0,3.00,0,0,0,1,0,Australia,Test
234,WM Lawry,1961-1971,67,2,14,6,0,0,0,2.57,0,0,0,30,0,Australia,Test
235,GF Lawson,1980-1989,46,78,11118,5501,180,11/134,30.56,2.96,61.7,11,2,10,0,Australia,Test
236,B Lee,1999-2008,76,150,16531,9554,310,9/171,30.81,3.46,53.3,10,0,23,0,Australia,Test
237,PK Lee,1931-1933,2,4,436,212,5,4/163,42.40,2.91,87.2,0,0,1,0,Australia,Test
238,DS Lehmann,1998-2004,27,25,974,412,15,6/92,27.46,2.53,64.9,0,0,11,0,Australia,Test
239,DK Lillee,1971-1984,70,132,18467,8493,355,11/123,23.92,2.75,52.0,23,7,23,0,Australia,Test
240,RR Lindwall,1946-1960,61,113,13650,5251,228,9/70,23.03,2.30,59.8,12,0,26,0,Australia,Test
241,HSB Love,1933-1933,1,0,0,0,0,0,0,0,0,0,0,3,0,Australia,Test
242,ML Love,2002-2003,5,0,0,0,0,0,0,0,0,0,0,7,0,Australia,Test
243,SJE Loxton,1948-1951,12,17,906,349,8,3/71,43.62,2.31,113.2,0,0,7,0,Australia,Test
244,NM Lyon,2011-2018,76,145,18403,9416,296,13/154,31.81,3.06,62.1,12,2,37,0,Australia,Test
245,JJ Lyons,1887-1897,14,9,316,149,6,5/73,24.83,2.82,52.6,1,0,3,0,Australia,Test
246,PA McAlister,1904-1909,8,0,0,0,0,0,0,0,0,0,0,10,0,Australia,Test
247,CG Macartney,1907-1926,35,45,3561,1240,45,11/85,27.55,2.08,79.1,2,1,17,0,Australia,Test
248,SJ McCabe,1930-1938,39,62,3746,1543,36,4/38,42.86,2.47,104.0,0,0,41,0,Australia,Test
249,CL McCool,1946-1950,14,20,2504,958,36,8/182,26.61,2.29,69.5,3,0,14,0,Australia,Test
250,EL McCormick,1935-1938,12,21,2107,1079,36,7/173,29.97,3.07,58.5,0,0,8,0,Australia,Test
251,RB McCosker,1975-1980,25,0,0,0,0,0,0,0,0,0,0,21,0,Australia,Test
252,CJ McDermott,1984-1996,71,124,16586,8332,291,11/157,28.63,3.01,56.9,14,2,19,0,Australia,Test
253,AB McDonald,2009-2009,4,7,732,300,9,3/72,33.33,2.45,81.3,0,0,2,0,Australia,Test
254,CC McDonald,1952-1961,47,1,8,3,0,0,0,2.25,0,0,0,14,0,Australia,Test
255,EA McDonald,1921-1921,11,21,2885,1431,43,8/74,33.27,2.97,67.0,2,0,3,0,Australia,Test
256,PS McDonnell,1880-1888,19,4,52,53,0,0,0,6.11,0,0,0,6,0,Australia,Test
257,BE McGain,2009-2009,1,1,108,149,0,0,0,8.27,0,0,0,0,0,Australia,Test
258,SCG MacGill,1998-2008,44,85,11237,6038,208,12/107,29.02,3.22,54.0,12,2,16,0,Australia,Test
